case,class,P0,P1,P2
1161.png,1,0.1332831084728241,0.4745955765247345,0.3921213448047638
320.png,0,0.3819580376148224,0.3334258794784546,0.2846161425113678
955.png,1,0.3173600435256958,0.34989115595817566,0.3327488303184509
776.png,2,0.00012858907575719059,0.04389007389545441,0.9559813141822815
1140.png,1,0.2225864976644516,0.39171138405799866,0.38570210337638855
975.png,0,0.7673845887184143,0.22585424780845642,0.006761190481483936
1249.png,0,0.8169698715209961,0.1812373250722885,0.001792887574993074
1186.png,0,0.45939913392066956,0.36521050333976746,0.17539028823375702
608.png,1,0.0842314288020134,0.5312086939811707,0.38455986976623535
916.png,0,0.7281398773193359,0.2563646733760834,0.015495430678129196
799.png,2,0.0007506675319746137,0.08437037467956543,0.9148789048194885
965.png,0,0.7315403819084167,0.2539433240890503,0.014516280964016914
413.png,0,0.4545070230960846,0.3423350155353546,0.2031579613685608
1181.png,0,0.7621486186981201,0.2313072830438614,0.006544014438986778
1182.png,0,0.7596156597137451,0.23230470716953278,0.008079634048044682
771.png,0,0.7988603711128235,0.19810600578784943,0.0030336647760123014
960.png,0,0.6489545106887817,0.3383190631866455,0.012726442888379097
1218.png,2,0.25588858127593994,0.3533475995063782,0.3907638490200043
1141.png,0,0.8206008672714233,0.17779546976089478,0.0016036037122830749
974.png,0,0.7176135778427124,0.26358380913734436,0.018802650272846222
794.png,2,0.02566058188676834,0.22377994656562805,0.7505594491958618
1224.png,0,0.7290456891059875,0.2557312250137329,0.015223134309053421
1132.png,0,0.7585666179656982,0.2331564724445343,0.008277015760540962
1112.png,2,0.1458822786808014,0.3514817953109741,0.5026358962059021
937.png,1,0.15670563280582428,0.49111053347587585,0.3521837592124939
627.png,2,0.02042187750339508,0.44634076952934265,0.5332373380661011
548.png,0,0.7425127625465393,0.24582237005233765,0.011664771474897861
838.png,2,0.0431184284389019,0.32877758145332336,0.628104031085968
1254.png,0,0.7466821670532227,0.2426123321056366,0.010705565102398396
1261.png,2,0.06429062783718109,0.2908729612827301,0.6448363661766052
926.png,0,0.745470404624939,0.24354565143585205,0.010983876883983612
991.png,1,0.31460878252983093,0.35059237480163574,0.3347988426685333
1169.png,0,0.6514366865158081,0.30176565051078796,0.04679765924811363
1199.png,0,0.721595287322998,0.2609143555164337,0.01749032735824585
1154.png,0,0.6881683468818665,0.28131502866744995,0.03051656298339367
1232.png,0,0.672540009021759,0.289213627576828,0.03824629634618759
882.png,2,0.10257333517074585,0.32610127329826355,0.5713253617286682
1243.png,2,0.004878013860434294,0.1541731357574463,0.8409488797187805
636.png,2,0.025667348876595497,0.39168882369995117,0.5826438665390015
1153.png,1,0.3041689395904541,0.43987351655960083,0.2559574842453003
653.png,2,0.003270587185397744,0.1805841624736786,0.8161453008651733
285.png,2,0.1709110587835312,0.34764915704727173,0.4814397990703583
491.png,0,0.6420117020606995,0.34236007928848267,0.015628186985850334
992.png,0,0.7152588367462158,0.26514139771461487,0.01959969848394394
638.png,0,0.45276200771331787,0.34951484203338623,0.1977231800556183
1198.png,0,0.7449443936347961,0.2439574897289276,0.011098135262727737
639.png,0,0.7675859928131104,0.22568626701831818,0.006727683823555708
988.png,0,0.4515349268913269,0.42844539880752563,0.12001968920230865
922.png,2,0.018108980730175972,0.21462960541248322,0.7672614455223083
758.png,0,0.7599058747291565,0.23206360638141632,0.008030477911233902
1225.png,1,0.34042856097221375,0.3658006191253662,0.2937707304954529
479.png,1,0.2938089072704315,0.4649060070514679,0.24128508567810059
833.png,1,0.05172169208526611,0.49363964796066284,0.45463865995407104
961.png,1,0.256536066532135,0.39078885316848755,0.35267511010169983
1197.png,0,0.7108566164970398,0.2679864168167114,0.02115698531270027
1168.png,0,0.7738559246063232,0.22034838795661926,0.005795752629637718
422.png,2,0.07172127068042755,0.30017584562301636,0.6281028985977173
464.png,0,0.5301730632781982,0.3689129650592804,0.10091390460729599
919.png,0,0.593140721321106,0.313655287027359,0.09320399165153503
906.png,0,0.74065762758255,0.24722029268741608,0.012122174724936485
1121.png,0,0.7541260123252869,0.2367473691701889,0.00912665668874979
884.png,0,0.63199782371521,0.3048494756221771,0.0631527230143547
887.png,0,0.7419305443763733,0.24626272916793823,0.011806674301624298
1215.png,1,0.13713738322257996,0.567621648311615,0.2952408790588379
993.png,2,0.11844419687986374,0.32777097821235657,0.5537848472595215
1281.png,2,0.00013051333371549845,0.04844938591122627,0.9514200687408447
1253.png,0,0.4876399040222168,0.33055973052978516,0.18180038034915924
1276.png,0,0.7886743545532227,0.20733428001403809,0.003991350065916777
892.png,0,0.6553890705108643,0.3015851378440857,0.04302581399679184
1205.png,0,0.7096263766288757,0.2687625586986542,0.02161094918847084
1298.png,1,0.28049418330192566,0.367331862449646,0.3521738648414612
1207.png,2,0.010605939663946629,0.20296631753444672,0.7864276766777039
934.png,2,0.00046465735067613423,0.08316117525100708,0.916374146938324
939.png,2,0.24801094830036163,0.35743382573127747,0.3945551812648773
1242.png,2,0.017711972817778587,0.19937413930892944,0.7829139232635498
633.png,1,0.3191072940826416,0.43803712725639343,0.24285560846328735
978.png,0,0.715454638004303,0.2650143504142761,0.019531020894646645
1299.png,2,0.021125758066773415,0.21134932339191437,0.7675248980522156
1238.png,2,0.0007644997094757855,0.08186854422092438,0.9173669815063477
829.png,2,0.0014744659420102835,0.09468347579240799,0.9038420915603638
1287.png,0,0.6402628421783447,0.30219072103500366,0.0575464703142643
571.png,1,0.2680738866329193,0.4552806615829468,0.2766454815864563
1007.png,1,0.02753588929772377,0.6990498900413513,0.2734142243862152
899.png,0,0.4256938099861145,0.34135621786117554,0.23295001685619354
1221.png,0,0.730239987373352,0.25487661361694336,0.014883310534060001
1273.png,0,0.7691158652305603,0.22438986599445343,0.006494324654340744
1144.png,0,0.7861583232879639,0.20958265662193298,0.004259123466908932
943.png,2,0.05228153616189957,0.3396454155445099,0.6080729961395264
741.png,0,0.7126477956771851,0.266836017370224,0.020516153424978256
787.png,2,0.009552345611155033,0.1606868952512741,0.8297607898712158
914.png,0,0.7215388417243958,0.260951966047287,0.017509177327156067
1185.png,0,0.7047206163406372,0.2718222141265869,0.023457156494259834
437.png,0,0.5824381709098816,0.3386291265487671,0.07893269509077072
973.png,0,0.8472795486450195,0.15206433832645416,0.0006561347981914878
990.png,0,0.5939682126045227,0.31708699464797974,0.08894481509923935
1268.png,1,0.3708597421646118,0.3807065188884735,0.2484336644411087
940.png,2,0.0005450030439533293,0.06990049034357071,0.9295545816421509
1156.png,0,0.6983704566955566,0.2755981981754303,0.026031270623207092
1271.png,0,0.7665847539901733,0.2265191376209259,0.006896094884723425
618.png,2,0.07693424075841904,0.3047384023666382,0.6183273196220398
885.png,0,0.7728598117828369,0.22120244801044464,0.0059377108700573444
589.png,0,0.7819194793701172,0.21333268284797668,0.00474780797958374
1167.png,0,0.6380129456520081,0.3029472231864929,0.05903992801904678
941.png,0,0.5208031535148621,0.3172660171985626,0.1619308590888977
1200.png,0,0.7727351784706116,0.2213057577610016,0.005959190893918276
1295.png,1,0.3047839105129242,0.35153570771217346,0.34368041157722473
1239.png,2,0.001861216383986175,0.10716867446899414,0.8909700512886047
1263.png,0,0.6263148784637451,0.3064754009246826,0.0672096386551857
782.png,2,0.13194695115089417,0.42146942019462585,0.44658365845680237
956.png,2,0.2774067521095276,0.3542557656764984,0.3683375418186188
1277.png,0,0.7453361749649048,0.24365440011024475,0.01100947242230177
1000.png,2,1.0715334610722493e-05,0.02083776704967022,0.9791514873504639
